abariaus	1	ˌ
abariumi	1	ˌ
abarius	1	ˌ
abatą	1	ˌ
abačių	1	ˌ
abchazija	1	ˌ
abchazijoje	1	ˌ
abchazijos	1	ˌ
abchaziją	1	ˌ
abchazus	2	ˋ
abdominalinės	3	ˌ
abdonas	1	ˋ
abebos	1	ˋ
abejais	2	ˌ
abejas	0	ˌ
abeji	2	ˋ
abejiems	2	ˈ
abejinga	2	ˋ
abejingai	2	ˋ
abejingam	2	ˋ
abejingas	2	ˋ
abejingi	2	ˈ
abejingo	2	ˋ
abejingu	2	ˋ
abejingumas	3	ˋ
abejingumo	3	ˋ
abejingumu	4	ˋ
abejingumui	3	ˋ
abejingumą	3	ˋ
abejingų	2	ˋ
abejo	0	ˌ
abejodamas	2	ˈ
abejodami	2	ˈ
abejodavo	2	ˈ
abejoja	2	ˈ
abejojam	2	ˈ
abejojama	2	ˈ
abejojame	2	ˈ
abejojanti	2	ˈ
abejojantiems	2	ˈ
abejojantis	2	ˈ
abejojantį	2	ˈ
abejojančio	2	ˈ
abejojančios	2	ˈ
abejojančių	2	ˈ
abejojat	2	ˈ
abejojate	2	ˈ
abejojau	2	ˈ
abejoji	2	ˈ
abejojimais	2	ˈ
abejojimas	2	ˈ
abejojimą	2	ˈ
abejojo	2	ˈ
abejojom	2	ˈ
abejojome	2	ˈ
abejoju	2	ˈ
abejomis	3	ˋ
abejoms	2	ˈ
abejone	3	ˋ
abejones	3	ˋ
abejonių	2	ˌ
abejonė	2	ˌ
abejonėm	2	ˌ
abejonėmis	2	ˌ
abejonėms	2	ˌ
abejonės	2	ˌ
abejonėse	2	ˌ
abejonę	2	ˌ
abejos	0	ˌ
abejose	3	ˋ
abejot	2	ˈ
abejoti	2	ˈ
abejotina	2	ˈ
abejotinai	2	ˈ
abejotinas	2	ˈ
abejotini	2	ˈ
abejotiniems	2	ˈ
abejotinomis	2	ˈ
abejotinos	2	ˈ
abejotinus	2	ˈ
abejotiną	2	ˈ
abejotinų	2	ˈ
abejotų	2	ˈ
abejočiau	2	ˈ
abejuose	3	ˋ
abejus	0	ˌ
abelio	0	ˌ
abelis	0	ˌ
aberdynas	2	ˈ
abi	1	ˋ
abidvi	1	ˋ
abiejose	3	ˋ
abiejuose	3	ˋ
abiejų	2	ˌ
abipus	1	ˋ
abipusei	2	ˋ
abipusiai	3	ˌ
abipusio	2	ˋ
abipusis	2	ˋ
abipusiu	3	ˋ
abipusė	2	ˋ
abipusės	2	ˋ
abipusę	2	ˋ
abipusį	2	ˋ
abite	0	ˌ
abiturientai	3	ˌ
abiturientais	3	ˌ
abiturientam	3	ˌ
abiturientams	3	ˌ
abiturientas	3	ˌ
abituriento	3	ˌ
abiturientui	3	ˌ
abiturientus	4	ˋ
abiturientą	3	ˌ
abiturientė	3	ˌ
abiturientės	3	ˌ
abiturientų	3	ˌ
abitą	0	ˌ
abitūra	3	ˋ
abitūros	2	ˌ
abišala	1	ˋ
ablėnaitės	1	ˈ
abonementams	3	ˌ
abonemento	3	ˌ
abonementą	3	ˌ
abonentas	2	ˌ
abonentinių	2	ˌ
abonentui	2	ˌ
abonentų	2	ˌ
aborigenai	3	ˋ
aborigenams	3	ˋ
abortai	1	ˋ
abortas	1	ˋ
aborto	1	ˋ
abortui	1	ˋ
abortus	1	ˋ
abortą	1	ˋ
abortų	1	ˋ
abramaičio	2	ˈ
abramovičiaus	2	ˋ
abraomai	1	ˋ
abraomas	1	ˋ
abraomo	1	ˋ
abraomu	2	ˋ
abraomui	1	ˋ
abraomą	1	ˋ
abreviatūros	3	ˌ
abrikosus	3	ˋ
abrikosų	2	ˋ
abromaitis	2	ˈ
abromaičio	2	ˈ
abromavičiau	2	ˌ
abromavičiaus	2	ˌ
abromavičiumi	2	ˌ
abromavičius	2	ˌ
abromavičių	2	ˌ
absoliutaus	3	ˌ
absoliuti	3	ˋ
absoliutiems	3	ˈ
absoliutine	2	ˋ
absoliutint	2	ˋ
absoliutinti	2	ˋ
absoliutinė	2	ˋ
absoliutinėje	2	ˋ
absoliutinės	2	ˋ
absoliutinį	2	ˋ
absoliutizuoja	4	ˈ
absoliutizuojant	4	ˈ
absoliutiškai	2	ˋ
absoliutus	3	ˋ
absoliutūs	2	ˋ
absoliutų	2	ˋ
absoliučia	3	ˋ
absoliučiai	3	ˌ
absoliučiais	3	ˌ
absoliučiame	4	ˋ
absoliučioj	3	ˌ
absoliučioje	4	ˋ
absoliučiu	3	ˋ
absoliučius	3	ˋ
absoliučią	2	ˋ
absoliučių	3	ˌ
absolventai	2	ˌ
absolventas	2	ˌ
absolvente	3	ˋ
absolvento	2	ˌ
absolventą	2	ˌ
